Language,Frequency
C,0.06779661016949153
Python,0.1016949152542373
Lua,0.03389830508474576
Ruby,0.05649717514124294
C++,0.192090395480226
Shell,0.011299435028248588
Java,0.12994350282485875
Processing,0.005649717514124294
JavaScript,0.1638418079096045
Objective-C++,0.022598870056497175
HTML,0.005649717514124294
D,0.005649717514124294
Haskell,0.011299435028248588
PHP,0.03954802259887006
Objective-C,0.06779661016949153
Swift,0.005649717514124294
Hack,0.011299435028248588
Cuda,0.005649717514124294
Go,0.005649717514124294
OCaml,0.022598870056497175
Matlab,0.005649717514124294
TypeScript,0.005649717514124294
Jupyter,0.005649717514124294
None,0.01694915254237288
